game_pk,season,official_date,game_date,game_type,away_team_id,away_team,away_score,home_team_id,home_team,home_score,home_win,total_runs,run_diff_home
778456,2025,2025-04-04,2025-04-04,R,133,Athletics,6,115,Colorado Rockies,3,0,9,-3
778457,2025,2025-04-04,2025-04-04,R,109,Arizona Diamondbacks,6,120,Washington Nationals,4,0,10,-2
778458,2025,2025-04-04,2025-04-04,R,145,Chicago White Sox,4,116,Detroit Tigers,7,1,11,3
778459,2025,2025-04-04,2025-04-04,R,119,Los Angeles Dodgers,2,143,Philadelphia Phillies,3,1,5,1
778460,2025,2025-04-04,2025-04-04,R,135,San Diego Padres,1,112,Chicago Cubs,3,1,4,2
778461,2025,2025-04-04,2025-04-04,R,147,New York Yankees,9,134,Pittsburgh Pirates,4,0,13,-5
778463,2025,2025-04-04,2025-04-04,R,138,St. Louis Cardinals,9,111,Boston Red Sox,13,1,22,4
778464,2025,2025-04-04,2025-04-04,R,146,Miami Marlins,0,144,Atlanta Braves,10,1,10,10
778465,2025,2025-04-04,2025-04-04,R,141,Toronto Blue Jays,0,121,New York Mets,5,1,5,5
778436,2025,2025-04-05,2025-04-05,R,136,Seattle Mariners,1,137,San Francisco Giants,4,1,5,3
778437,2025,2025-04-05,2025-04-05,R,114,Cleveland Guardians,4,108,Los Angeles Angels,10,1,14,6
778438,2025,2025-04-05,2025-04-05,R,139,Tampa Bay Rays,4,140,Texas Rangers,6,1,10,2
778439,2025,2025-04-05,2025-04-05,R,113,Cincinnati Reds,11,158,Milwaukee Brewers,7,0,18,-4
778440,2025,2025-04-05,2025-04-05,R,117,Houston Astros,1,142,Minnesota Twins,6,1,7,5
778441,2025,2025-04-05,2025-04-05,R,110,Baltimore Orioles,8,118,Kansas City Royals,1,0,9,-7
778442,2025,2025-04-05,2025-04-05,R,133,Athletics,7,115,Colorado Rockies,4,0,11,-3
778445,2025,2025-04-05,2025-04-05,R,145,Chicago White Sox,2,116,Detroit Tigers,7,1,9,5
778446,2025,2025-04-05,2025-04-05,R,141,Toronto Blue Jays,2,121,New York Mets,3,1,5,1
778448,2025,2025-04-05,2025-04-05,R,119,Los Angeles Dodgers,3,143,Philadelphia Phillies,1,0,4,-2
778449,2025,2025-04-05,2025-04-05,R,147,New York Yankees,10,134,Pittsburgh Pirates,4,0,14,-6
778450,2025,2025-04-05,2025-04-05,R,135,San Diego Padres,1,112,Chicago Cubs,7,1,8,6
778451,2025,2025-04-05,2025-04-05,R,146,Miami Marlins,4,144,Atlanta Braves,0,0,4,-4
778452,2025,2025-04-05,2025-04-05,R,109,Arizona Diamondbacks,3,120,Washington Nationals,4,1,7,1
778419,2025,2025-04-06,2025-04-06,R,117,Houston Astros,9,142,Minnesota Twins,7,0,16,-2
778420,2025,2025-04-06,2025-04-06,R,139,Tampa Bay Rays,3,140,Texas Rangers,4,1,7,1
778421,2025,2025-04-06,2025-04-06,R,113,Cincinnati Reds,2,158,Milwaukee Brewers,8,1,10,6
778422,2025,2025-04-06,2025-04-06,R,110,Baltimore Orioles,1,118,Kansas City Royals,4,1,5,3
778423,2025,2025-04-06,2025-04-06,R,133,Athletics,5,115,Colorado Rockies,12,1,17,7
778425,2025,2025-04-06,2025-04-06,R,114,Cleveland Guardians,2,108,Los Angeles Angels,6,1,8,4
778427,2025,2025-04-06,2025-04-06,R,136,Seattle Mariners,4,137,San Francisco Giants,5,1,9,1
778428,2025,2025-04-06,2025-04-06,R,147,New York Yankees,4,134,Pittsburgh Pirates,5,1,9,1
778429,2025,2025-04-06,2025-04-06,R,109,Arizona Diamondbacks,4,120,Washington Nationals,5,1,9,1
778430,2025,2025-04-06,2025-04-06,R,135,San Diego Padres,8,112,Chicago Cubs,7,0,15,-1
778432,2025,2025-04-06,2025-04-06,R,138,St. Louis Cardinals,7,111,Boston Red Sox,18,1,25,11
778433,2025,2025-04-06,2025-04-06,R,145,Chicago White Sox,3,116,Detroit Tigers,4,1,7,1
778434,2025,2025-04-06,2025-04-06,R,119,Los Angeles Dodgers,7,143,Philadelphia Phillies,8,1,15,1
778435,2025,2025-04-06,2025-04-06,R,141,Toronto Blue Jays,1,121,New York Mets,2,1,3,1
778443,2025,2025-04-06,2025-04-06,R,138,St. Louis Cardinals,4,111,Boston Red Sox,5,1,9,1
778405,2025,2025-04-07,2025-04-07,R,117,Houston Astros,3,136,Seattle Mariners,4,1,7,1
778410,2025,2025-04-07,2025-04-07,R,113,Cincinnati Reds,2,137,San Francisco Giants,0,0,2,-2
778411,2025,2025-04-07,2025-04-07,R,140,Texas Rangers,0,112,Chicago Cubs,7,1,7,7
778412,2025,2025-04-07,2025-04-07,R,142,Minnesota Twins,2,118,Kansas City Royals,4,1,6,2
778413,2025,2025-04-07,2025-04-07,R,110,Baltimore Orioles,5,109,Arizona Diamondbacks,1,0,6,-4
778414,2025,2025-04-07,2025-04-07,R,135,San Diego Padres,5,133,Athletics,4,0,9,-1
778415,2025,2025-04-07,2025-04-07,R,138,St. Louis Cardinals,4,134,Pittsburgh Pirates,8,1,12,4
778416,2025,2025-04-07,2025-04-07,R,146,Miami Marlins,0,121,New York Mets,2,1,2,2
778418,2025,2025-04-07,2025-04-07,R,119,Los Angeles Dodgers,4,120,Washington Nationals,6,1,10,2
778424,2025,2025-04-07,2025-04-07,R,147,New York Yankees,2,116,Detroit Tigers,6,1,8,4
778426,2025,2025-04-07,2025-04-07,R,141,Toronto Blue Jays,6,111,Boston Red Sox,2,0,8,-4
778394,2025,2025-04-08,2025-04-08,R,158,Milwaukee Brewers,7,115,Colorado Rockies,1,0,8,-6
778395,2025,2025-04-08,2025-04-08,R,135,San Diego Padres,4,133,Athletics,10,1,14,6
778396,2025,2025-04-08,2025-04-08,R,110,Baltimore Orioles,3,109,Arizona Diamondbacks,4,1,7,1
778397,2025,2025-04-08,2025-04-08,R,113,Cincinnati Reds,1,137,San Francisco Giants,0,0,1,-1
778398,2025,2025-04-08,2025-04-08,R,117,Houston Astros,2,136,Seattle Mariners,1,0,3,-1
778400,2025,2025-04-08,2025-04-08,R,142,Minnesota Twins,1,118,Kansas City Royals,2,1,3,1
778401,2025,2025-04-08,2025-04-08,R,140,Texas Rangers,6,112,Chicago Cubs,10,1,16,4
778402,2025,2025-04-08,2025-04-08,R,145,Chicago White Sox,0,114,Cleveland Guardians,1,1,1,1
778403,2025,2025-04-08,2025-04-08,R,147,New York Yankees,0,116,Detroit Tigers,5,1,5,5
778404,2025,2025-04-08,2025-04-08,R,141,Toronto Blue Jays,6,111,Boston Red Sox,1,0,7,-5
778406,2025,2025-04-08,2025-04-08,R,143,Philadelphia Phillies,5,144,Atlanta Braves,7,1,12,2
778407,2025,2025-04-08,2025-04-08,R,146,Miami Marlins,5,121,New York Mets,10,1,15,5
778408,2025,2025-04-08,2025-04-08,R,138,St. Louis Cardinals,5,134,Pittsburgh Pirates,3,0,8,-2
778409,2025,2025-04-08,2025-04-08,R,119,Los Angeles Dodgers,2,120,Washington Nationals,8,1,10,6
778417,2025,2025-04-08,2025-04-08,R,108,Los Angeles Angels,4,139,Tampa Bay Rays,3,0,7,-1
778376,2025,2025-04-09,2025-04-09,R,113,Cincinnati Reds,6,137,San Francisco Giants,8,1,14,2
778379,2025,2025-04-09,2025-04-09,R,158,Milwaukee Brewers,17,115,Colorado Rockies,2,0,19,-15
778380,2025,2025-04-09,2025-04-09,R,110,Baltimore Orioles,0,109,Arizona Diamondbacks,9,1,9,9
778381,2025,2025-04-09,2025-04-09,R,135,San Diego Padres,2,133,Athletics,1,0,3,-1
778383,2025,2025-04-09,2025-04-09,R,117,Houston Astros,6,136,Seattle Mariners,7,1,13,1
778385,2025,2025-04-09,2025-04-09,R,140,Texas Rangers,6,112,Chicago Cubs,2,0,8,-4
778386,2025,2025-04-09,2025-04-09,R,141,Toronto Blue Jays,2,111,Boston Red Sox,1,0,3,-1
778387,2025,2025-04-09,2025-04-09,R,147,New York Yankees,4,116,Detroit Tigers,3,0,7,-1
778388,2025,2025-04-09,2025-04-09,R,142,Minnesota Twins,4,118,Kansas City Royals,0,0,4,-4
778389,2025,2025-04-09,2025-04-09,R,138,St. Louis Cardinals,1,134,Pittsburgh Pirates,2,1,3,1
778390,2025,2025-04-09,2025-04-09,R,146,Miami Marlins,5,121,New York Mets,0,0,5,-5
778391,2025,2025-04-09,2025-04-09,R,145,Chicago White Sox,2,114,Cleveland Guardians,3,1,5,1
778392,2025,2025-04-09,2025-04-09,R,119,Los Angeles Dodgers,6,120,Washington Nationals,5,0,11,-1
778393,2025,2025-04-09,2025-04-09,R,143,Philadelphia Phillies,4,144,Atlanta Braves,3,0,7,-1
778399,2025,2025-04-09,2025-04-09,R,108,Los Angeles Angels,4,139,Tampa Bay Rays,5,1,9,1
778371,2025,2025-04-10,2025-04-10,R,158,Milwaukee Brewers,2,115,Colorado Rockies,7,1,9,5
778373,2025,2025-04-10,2025-04-10,R,142,Minnesota Twins,2,118,Kansas City Royals,3,1,5,1
778377,2025,2025-04-10,2025-04-10,R,141,Toronto Blue Jays,3,111,Boston Red Sox,4,1,7,1
778378,2025,2025-04-10,2025-04-10,R,145,Chicago White Sox,1,114,Cleveland Guardians,6,1,7,5
778382,2025,2025-04-10,2025-04-10,R,108,Los Angeles Angels,11,139,Tampa Bay Rays,1,0,12,-10
778384,2025,2025-04-10,2025-04-10,R,143,Philadelphia Phillies,2,144,Atlanta Braves,4,1,6,2
778356,2025,2025-04-11,2025-04-11,R,112,Chicago Cubs,0,119,Los Angeles Dodgers,3,1,3,3
778358,2025,2025-04-11,2025-04-11,R,121,New York Mets,7,133,Athletics,6,0,13,-1
778360,2025,2025-04-11,2025-04-11,R,140,Texas Rangers,3,136,Seattle Mariners,5,1,8,2
778361,2025,2025-04-11,2025-04-11,R,115,Colorado Rockies,0,135,San Diego Padres,8,1,8,8
778363,2025,2025-04-11,2025-04-11,R,116,Detroit Tigers,7,142,Minnesota Twins,6,0,13,-1
778364,2025,2025-04-11,2025-04-11,R,158,Milwaukee Brewers,7,109,Arizona Diamondbacks,0,0,7,-7
778365,2025,2025-04-11,2025-04-11,R,143,Philadelphia Phillies,0,138,St. Louis Cardinals,2,1,2,2
778366,2025,2025-04-11,2025-04-11,R,111,Boston Red Sox,1,145,Chicago White Sox,11,1,12,10
778367,2025,2025-04-11,2025-04-11,R,144,Atlanta Braves,3,139,Tampa Bay Rays,6,1,9,3
778368,2025,2025-04-11,2025-04-11,R,108,Los Angeles Angels,3,117,Houston Astros,14,1,17,11
778369,2025,2025-04-11,2025-04-11,R,120,Washington Nationals,7,146,Miami Marlins,4,0,11,-3
778370,2025,2025-04-11,2025-04-11,R,137,San Francisco Giants,9,147,New York Yankees,1,0,10,-8
778374,2025,2025-04-11,2025-04-11,R,134,Pittsburgh Pirates,3,113,Cincinnati Reds,5,1,8,2
778375,2025,2025-04-11,2025-04-11,R,118,Kansas City Royals,0,114,Cleveland Guardians,7,1,7,7
778341,2025,2025-04-12,2025-04-12,R,140,Texas Rangers,2,136,Seattle Mariners,9,1,11,7
778345,2025,2025-04-12,2025-04-12,R,112,Chicago Cubs,16,119,Los Angeles Dodgers,0,0,16,-16
778346,2025,2025-04-12,2025-04-12,R,121,New York Mets,1,133,Athletics,3,1,4,2
778347,2025,2025-04-12,2025-04-12,R,143,Philadelphia Phillies,4,138,St. Louis Cardinals,1,0,5,-3
778348,2025,2025-04-12,2025-04-12,R,116,Detroit Tigers,4,142,Minnesota Twins,0,0,4,-4
778349,2025,2025-04-12,2025-04-12,R,111,Boston Red Sox,2,145,Chicago White Sox,3,1,5,1
778350,2025,2025-04-12,2025-04-12,R,158,Milwaukee Brewers,4,109,Arizona Diamondbacks,5,1,9,1
778351,2025,2025-04-12,2025-04-12,R,108,Los Angeles Angels,4,117,Houston Astros,1,0,5,-3
778352,2025,2025-04-12,2025-04-12,R,115,Colorado Rockies,0,135,San Diego Padres,2,1,2,2
778353,2025,2025-04-12,2025-04-12,R,144,Atlanta Braves,5,139,Tampa Bay Rays,4,0,9,-1
778354,2025,2025-04-12,2025-04-12,R,120,Washington Nationals,6,146,Miami Marlins,7,1,13,1
778355,2025,2025-04-12,2025-04-12,R,137,San Francisco Giants,4,147,New York Yankees,8,1,12,4
778357,2025,2025-04-12,2025-04-12,R,134,Pittsburgh Pirates,2,113,Cincinnati Reds,5,1,7,3
