retrieved_utc,source_url,rows
2026-08-17T09:22:17.954885+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-07-15&endDate=2025-07-24&gameTypes=R (chunk 3),21
2026-08-17T09:23:15.619317+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-07-25&endDate=2025-08-03&gameTypes=R (chunk 0),24
2026-08-17T09:23:43.997343+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-07-25&endDate=2025-08-03&gameTypes=R (chunk 1),24
2026-08-17T09:24:42.878936+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-07-25&endDate=2025-08-03&gameTypes=R (chunk 2),25
2026-08-17T09:25:21.917301+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-07-25&endDate=2025-08-03&gameTypes=R (chunk 3),25
2026-08-17T09:26:06.705111+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-07-25&endDate=2025-08-03&gameTypes=R (chunk 4),25
2026-08-17T09:26:39.411260+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-07-25&endDate=2025-08-03&gameTypes=R (chunk 5),15
2026-08-17T09:28:37.141294+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-04&endDate=2025-08-13&gameTypes=R (chunk 0),24
2026-08-17T09:29:43.216284+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-04&endDate=2025-08-13&gameTypes=R (chunk 1),25
2026-08-17T09:31:21.219605+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-04&endDate=2025-08-13&gameTypes=R (chunk 2),25
2026-08-17T09:31:49.965701+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-04&endDate=2025-08-13&gameTypes=R (chunk 3),25
2026-08-17T09:32:28.633666+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-04&endDate=2025-08-13&gameTypes=R (chunk 4),25
2026-08-17T09:33:17.017409+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-04&endDate=2025-08-13&gameTypes=R (chunk 5),10
2026-08-17T09:35:03.901710+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-14&endDate=2025-08-23&gameTypes=R (chunk 0),24
2026-08-17T09:35:34.354998+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-14&endDate=2025-08-23&gameTypes=R (chunk 1),25
2026-08-17T09:36:31.336116+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-14&endDate=2025-08-23&gameTypes=R (chunk 2),24
2026-08-17T09:37:15.767797+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-14&endDate=2025-08-23&gameTypes=R (chunk 3),25
2026-08-17T09:38:10.616627+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-14&endDate=2025-08-23&gameTypes=R (chunk 4),25
2026-08-17T09:38:41.542438+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-14&endDate=2025-08-23&gameTypes=R (chunk 5),9
2026-08-17T09:40:34.737001+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-24&endDate=2025-09-02&gameTypes=R (chunk 0),24
2026-08-17T09:41:26.715017+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-24&endDate=2025-09-02&gameTypes=R (chunk 1),25
2026-08-17T09:41:56.337462+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-24&endDate=2025-09-02&gameTypes=R (chunk 2),25
2026-08-17T09:42:25.731298+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-24&endDate=2025-09-02&gameTypes=R (chunk 3),25
2026-08-17T09:42:55.780275+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-24&endDate=2025-09-02&gameTypes=R (chunk 4),25
2026-08-17T09:43:20.736157+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-08-24&endDate=2025-09-02&gameTypes=R (chunk 5),14
2026-08-17T09:44:08.913071+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-09-03&endDate=2025-09-12&gameTypes=R (chunk 0),24
2026-08-17T09:44:37.515194+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-09-03&endDate=2025-09-12&gameTypes=R (chunk 1),25
2026-08-17T09:45:05.717328+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-09-03&endDate=2025-09-12&gameTypes=R (chunk 2),25
2026-08-17T09:45:33.596683+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-09-03&endDate=2025-09-12&gameTypes=R (chunk 3),25
2026-08-17T09:46:03.145214+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-09-03&endDate=2025-09-12&gameTypes=R (chunk 4),25
2026-08-17T09:46:21.170789+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-09-03&endDate=2025-09-12&gameTypes=R (chunk 5),7
2026-08-17T09:47:19.351315+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-09-13&endDate=2025-09-22&gameTypes=R (chunk 0),24
2026-08-17T09:48:25.731177+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-09-13&endDate=2025-09-22&gameTypes=R (chunk 1),25
2026-08-17T09:48:57.677757+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-09-13&endDate=2025-09-22&gameTypes=R (chunk 2),25
2026-08-17T09:49:28.075428+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-09-13&endDate=2025-09-22&gameTypes=R (chunk 3),25
2026-08-17T09:49:59.182976+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-09-13&endDate=2025-09-22&gameTypes=R (chunk 4),25
2026-08-17T09:50:17.670526+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-09-13&endDate=2025-09-22&gameTypes=R (chunk 5),5
2026-08-17T09:51:00.176708+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-09-23&endDate=2025-09-30&gameTypes=R (chunk 0),24
2026-08-17T09:51:30.541938+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-09-23&endDate=2025-09-30&gameTypes=R (chunk 1),25
2026-08-17T09:52:32.941096+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-09-23&endDate=2025-09-30&gameTypes=R (chunk 2),25
2026-08-17T09:52:58.721320+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-09-23&endDate=2025-09-30&gameTypes=R (chunk 3),13
