game_pk,official_date,away_id,away_score,home_id,home_score
778472,2025-04-02,144,5,119,6
778470,2025-04-03,111,8,110,4
778467,2025-04-03,115,1,143,3
778462,2025-04-03,117,5,142,2
778466,2025-04-03,109,7,147,9
778468,2025-04-03,113,0,158,1
778458,2025-04-04,145,4,116,7
778463,2025-04-04,138,9,111,13
778460,2025-04-04,135,1,112,3
778465,2025-04-04,141,0,121,5
778456,2025-04-04,133,6,115,3
778461,2025-04-04,147,9,134,4
778444,2025-04-04,136,9,137,10
778457,2025-04-04,109,6,120,4
778459,2025-04-04,119,2,143,3
778464,2025-04-04,146,0,144,10
778455,2025-04-04,110,2,118,8
778454,2025-04-04,139,2,140,5
778453,2025-04-04,113,2,158,3
778447,2025-04-04,114,8,108,6
778445,2025-04-05,145,2,116,7
778440,2025-04-05,117,1,142,6
778450,2025-04-05,135,1,112,7
778452,2025-04-05,109,3,120,4
778448,2025-04-05,119,3,143,1
778449,2025-04-05,147,10,134,4
778441,2025-04-05,110,8,118,1
778438,2025-04-05,139,4,140,6
778446,2025-04-05,141,2,121,3
778439,2025-04-05,113,11,158,7
778451,2025-04-05,146,4,144,0
778442,2025-04-05,133,7,115,4
778436,2025-04-05,136,1,137,4
778437,2025-04-05,114,4,108,10
778410,2025-04-07,113,2,137,0
778414,2025-04-07,135,5,133,4
778403,2025-04-08,147,0,116,5
778402,2025-04-08,145,0,114,1
778407,2025-04-08,146,5,121,10
778408,2025-04-08,138,5,134,3
778409,2025-04-08,119,2,120,8
778404,2025-04-08,141,6,111,1
778417,2025-04-08,108,4,139,3
778406,2025-04-08,143,5,144,7
778401,2025-04-08,140,6,112,10
778400,2025-04-08,142,1,118,2
778394,2025-04-08,158,7,115,1
778396,2025-04-08,110,3,109,4
778398,2025-04-08,117,2,136,1
778397,2025-04-08,113,1,137,0
778395,2025-04-08,135,4,133,10
778389,2025-04-09,138,1,134,2
778390,2025-04-09,146,5,121,0
778387,2025-04-09,147,4,116,3
778385,2025-04-09,140,6,112,2
778381,2025-04-09,135,2,133,1
778380,2025-04-09,110,0,109,9
778376,2025-04-09,113,6,137,8
778392,2025-04-09,119,6,120,5
778383,2025-04-09,117,6,136,7
778391,2025-04-09,145,2,114,3
778386,2025-04-09,141,2,111,1
778399,2025-04-09,108,4,139,5
778393,2025-04-09,143,4,144,3
778388,2025-04-09,142,4,118,0
778379,2025-04-09,158,17,115,2
778382,2025-04-10,108,11,139,1
778378,2025-04-10,145,1,114,6
778373,2025-04-10,142,2,118,3
778371,2025-04-10,158,2,115,7
778377,2025-04-10,141,3,111,4
778384,2025-04-10,143,2,144,4
778375,2025-04-11,118,0,114,7
778374,2025-04-11,134,3,113,5
778367,2025-04-11,144,3,139,6
778370,2025-04-11,137,9,147,1
778369,2025-04-11,120,7,146,4
778366,2025-04-11,111,1,145,11
778368,2025-04-11,108,3,117,14
778363,2025-04-11,116,7,142,6
778365,2025-04-11,143,0,138,2
778361,2025-04-11,115,0,135,8
778360,2025-04-11,140,3,136,5
778364,2025-04-11,158,7,109,0
778358,2025-04-11,121,7,133,6
778356,2025-04-11,112,0,119,3
778348,2025-04-12,116,4,142,0
778347,2025-04-12,143,4,138,1
778355,2025-04-12,137,4,147,8
778346,2025-04-12,121,1,133,3
778362,2025-04-12,141,4,110,5
778353,2025-04-12,144,5,139,4
778349,2025-04-12,111,2,145,3
778354,2025-04-12,120,6,146,7
778359,2025-04-12,118,3,114,6
778357,2025-04-12,134,2,113,5
778351,2025-04-12,108,4,117,1
778350,2025-04-12,158,4,109,5
778352,2025-04-12,115,0,135,2
778345,2025-04-12,112,16,119,0
778341,2025-04-12,140,2,136,9
778344,2025-04-13,141,7,110,6
778339,2025-04-13,137,5,147,4
778342,2025-04-13,118,4,114,2
778343,2025-04-13,134,0,113,4
778340,2025-04-13,144,3,139,8
778337,2025-04-13,120,4,146,11
778329,2025-04-13,108,3,117,7
778335,2025-04-13,116,1,142,5
778338,2025-04-13,111,3,145,1
778336,2025-04-13,143,0,138,7
778333,2025-04-13,121,8,133,0
778330,2025-04-13,115,0,135,6
778334,2025-04-13,140,1,136,3
778332,2025-04-13,158,2,109,5
778331,2025-04-13,112,4,119,2
778321,2025-04-14,120,3,134,10
778320,2025-04-14,137,10,143,4
778328,2025-04-14,111,1,139,16
778327,2025-04-14,118,1,147,4
778322,2025-04-14,144,8,141,4
778324,2025-04-14,121,5,142,1
778323,2025-04-14,116,9,158,1
778325,2025-04-14,117,3,138,8
778315,2025-04-14,112,4,135,10
778326,2025-04-14,115,3,119,5
